timestamp;session_duration;calm_probability;focus_probability;delta;theta;alpha;beta;gamma;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-07-03T12:00:33.360099;0.06;;;;;;;;-16.003;0.424;-0.511;-86.644;-46.317;-4.627;-98.786;-1.999
2025-07-03T12:00:33.364099;0.07;;;4.477;4.797;5.684;5.0;0.873;-16.003;0.424;-0.511;-86.644;-46.317;-4.627;-98.786;-1.999
2025-07-03T12:00:33.372143;0.08;;;4.477;4.797;5.684;5.0;0.873;-17.159;3.818;5.273;-163.736;-59.599;3.937;-226.979;2.256
2025-07-03T12:00:33.475246;0.18;;;4.477;4.797;5.684;5.0;0.873;-5.354;2.008;0.486;-93.634;-32.099;3.834;-125.856;1.072
2025-07-03T12:00:33.528491;0.23;;;4.477;4.797;5.684;5.0;0.873;-0.486;-2.224;-0.025;-36.65;-1.696;4.047;-59.34;1.434
2025-07-03T12:00:33.584636;0.29;;;6.399;5.618;7.146;3.143;0.774;-0.486;-2.224;-0.025;-36.65;-1.696;4.047;-59.34;1.434
2025-07-03T12:00:33.585635;0.29;;;6.399;5.618;7.146;3.143;0.774;4.376;-5.201;-3.178;22.128;17.055;-5.052;17.204;-4.451
2025-07-03T12:00:33.638748;0.34;;;6.399;5.618;7.146;3.143;0.774;4.747;0.642;0.984;51.212;9.718;-4.414;32.743;0.474
2025-07-03T12:00:33.691988;0.4;;;6.399;5.618;7.146;3.143;0.774;8.806;2.878;2.665;85.655;31.627;2.978;87.712;-0.455
2025-07-03T12:00:33.692987;0.4;;;6.399;5.618;7.146;3.143;0.774;2.347;-0.879;-5.476;18.16;12.479;-0.441;85.864;0.054
2025-07-03T12:00:33.745670;0.45;;;6.399;5.618;7.146;3.143;0.774;5.647;0.764;0.698;47.159;16.911;2.947;110.543;0.776
2025-07-03T12:00:33.797815;0.5;;;6.399;5.618;7.146;3.143;0.774;-9.446;-1.137;3.323;-71.292;-28.783;0.034;-93.874;0.822
2025-07-03T12:00:33.799813;0.5;;;10.169;8.891;5.058;3.711;0.722;-9.446;-1.137;3.323;-71.292;-28.783;0.034;-93.874;0.822
2025-07-03T12:00:33.852664;0.56;;;10.169;8.891;5.058;3.711;0.722;-11.549;0.256;-0.366;-77.278;-31.04;-1.666;-111.614;-0.01
2025-07-03T12:00:33.904668;0.61;;;10.169;8.891;5.058;3.711;0.722;4.247;2.364;1.405;-1.358;2.555;-1.187;1.651;2.441
2025-07-03T12:00:33.957358;0.66;;;10.169;8.891;5.058;3.711;0.722;5.222;-2.576;-0.851;47.657;16.302;-1.404;63.563;-3.934
2025-07-03T12:00:33.959358;0.66;;;10.169;8.891;5.058;3.711;0.722;0.435;2.255;-2.487;25.156;2.387;3.776;7.53;1.437
2025-07-03T12:00:34.019875;0.72;;;10.169;8.891;5.058;3.711;0.722;-12.918;-1.428;0.539;-3.649;-0.232;-5.28;-25.079;-3.96
2025-07-03T12:00:34.073609;0.78;;;10.169;8.891;5.058;3.711;0.722;5.578;-0.286;-0.226;1.266;4.162;4.896;-13.894;2.569
2025-07-03T12:00:34.125834;0.83;;;10.169;8.891;5.058;3.711;0.722;12.05;-2.921;1.492;12.344;1.434;2.409;15.528;0.571
2025-07-03T12:00:34.229781;0.93;;;10.169;8.891;5.058;3.711;0.722;1.008;3.098;0.954;-8.837;-4.804;-3.069;8.454;2.516
2025-07-03T12:00:34.230781;0.93;0.4122141864400245;;10.169;8.891;5.058;3.711;0.722;1.008;3.098;0.954;-8.837;-4.804;-3.069;8.454;2.516
2025-07-03T12:00:34.287110;0.99;0.4122141864400245;;2.753;2.663;3.391;3.09;0.644;1.008;3.098;0.954;-8.837;-4.804;-3.069;8.454;2.516
2025-07-03T12:00:34.288109;0.99;0.4122141864400245;0.2171668746691753;2.753;2.663;3.391;3.09;0.644;1.008;3.098;0.954;-8.837;-4.804;-3.069;8.454;2.516
2025-07-03T12:00:34.289109;0.99;0.4122141864400245;0.2171668746691753;2.753;2.663;3.391;3.09;0.644;-6.319;-0.625;-2.026;-33.812;-9.377;-1.055;-37.321;-2.9
2025-07-03T12:00:34.290108;0.99;0.4122141864400245;0.2171668746691753;7.837;7.992;5.881;5.802;0.833;-6.319;-0.625;-2.026;-33.812;-9.377;-1.055;-37.321;-2.9
2025-07-03T12:00:34.292108;1.0;0.4122141864400245;0.2171668746691753;7.837;7.992;5.881;5.802;0.833;-3.357;3.397;2.405;-18.507;-3.256;0.236;-21.784;-0.462
2025-07-03T12:00:34.344669;1.05;0.4122141864400245;0.2171668746691753;7.837;7.992;5.881;5.802;0.833;0.644;-2.204;-3.442;28.636;12.651;-1.395;36.362;2.353
2025-07-03T12:00:34.398520;1.1;0.4122141864400245;0.2171668746691753;7.837;7.992;5.881;5.802;0.833;0.599;-0.786;2.898;2.135;-2.302;2.115;-0.768;0.061
2025-07-03T12:00:34.472202;1.18;0.4122141864400245;0.2171668746691753;7.837;7.992;5.881;5.802;0.833;6.454;-3.002;0.512;31.61;7.173;-0.595;15.507;-3.265
2025-07-03T12:00:34.474187;1.18;0.4122141864400245;0.2171668746691753;7.837;7.992;5.881;5.802;0.833;4.892;0.578;-0.966;34.778;15.315;-3.598;48.23;-0.097
2025-07-03T12:00:34.527435;1.23;0.4122141864400245;0.2171668746691753;7.837;7.992;5.881;5.802;0.833;-14.593;3.303;-2.465;-57.614;-29.418;3.457;-48.762;0.098
2025-07-03T12:00:34.592988;1.3;0.4122141864400245;0.2171668746691753;7.739;9.843;8.712;4.467;0.8;-14.593;3.303;-2.465;-57.614;-29.418;3.457;-48.762;0.098
2025-07-03T12:00:34.600989;1.3;0.4122141864400245;0.2171668746691753;7.739;9.843;8.712;4.467;0.8;-2.287;1.656;3.395;-26.644;-5.897;5.414;-29.92;3.243
2025-07-03T12:00:34.654734;1.36;0.4122141864400245;0.2171668746691753;7.739;9.843;8.712;4.467;0.8;2.944;-3.241;-0.797;-14.643;4.208;-7.356;-13.864;-4.525
2025-07-03T12:00:34.707181;1.41;0.4122141864400245;0.2171668746691753;7.739;9.843;8.712;4.467;0.8;-4.225;-0.029;-1.667;-24.689;-7.098;-0.553;-14.596;1.874
2025-07-03T12:00:34.761740;1.46;0.4122141864400245;0.2171668746691753;7.739;9.843;8.712;4.467;0.8;15.814;5.208;-1.77;82.495;32.221;1.005;103.369;3.15
2025-07-03T12:00:34.825469;1.53;0.4122141864400245;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;15.814;5.208;-1.77;82.495;32.221;1.005;103.369;3.15
2025-07-03T12:00:34.827565;1.53;0.4122141864400245;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-5.673;-4.381;2.488;6.954;-4.946;0.128;0.543;-1.799
2025-07-03T12:00:34.880022;1.58;0.4122141864400245;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;0.021;-3.112;1.813;-19.408;-12.67;5.428;-52.578;2.401
2025-07-03T12:00:34.932376;1.64;0.4122141864400245;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-2.507;-0.474;-1.548;-5.721;1.457;-3.374;-24.964;-2.924
2025-07-03T12:00:34.984715;1.69;0.22973311001475383;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-2.507;-0.474;-1.548;-5.721;1.457;-3.374;-24.964;-2.924
2025-07-03T12:00:34.985783;1.69;0.22973311001475383;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;0.509;5.921;-3.016;-9.47;-0.812;0.46;11.034;0.21
2025-07-03T12:00:34.991994;1.7;0.22973311001475383;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-1.482;-2.143;1.756;-0.774;0.186;-1.276;17.962;-6.091
2025-07-03T12:00:35.044025;1.75;0.22973311001475383;0.2171668746691753;8.662;6.631;2.704;2.085;0.6;-1.157;0.315;3.594;2.964;-3.629;-0.315;4.062;7.198
2025-07-03T12:00:35.095968;1.8;0.22973311001475383;0.2592102312237826;8.662;6.631;2.704;2.085;0.6;-1.157;0.315;3.594;2.964;-3.629;-0.315;4.062;7.198
2025-07-03T12:00:35.097976;1.8;0.22973311001475383;0.2592102312237826;6.139;5.099;2.676;1.799;0.604;-1.157;0.315;3.594;2.964;-3.629;-0.315;4.062;7.198
