timestamp;session_duration;calm_probability;focus_probability;delta_CP3;delta_C3;delta_F5;delta_PO3;delta_PO4;delta_F6;delta_C4;delta_CP4;theta_CP3;theta_C3;theta_F5;theta_PO3;theta_PO4;theta_F6;theta_C4;theta_CP4;alpha_CP3;alpha_C3;alpha_F5;alpha_PO3;alpha_PO4;alpha_F6;alpha_C4;alpha_CP4;beta_CP3;beta_C3;beta_F5;beta_PO3;beta_PO4;beta_F6;beta_C4;beta_CP4;gamma_CP3;gamma_C3;gamma_F5;gamma_PO3;gamma_PO4;gamma_F6;gamma_C4;gamma_CP4;eeg_CP3;eeg_C3;eeg_F5;eeg_PO3;eeg_PO4;eeg_F6;eeg_C4;eeg_CP4
2025-08-07T10:45:01.081675;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.107;-13.126;-5.037;-3.28;2.568;0.849;3.844;4.796
2025-08-07T10:45:01.085187;0.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.839;14.304;-0.378;-0.206;-6.41;1.368;-1.707;-1.721
2025-08-07T10:45:01.195270;0.18;;;5.661;11.635;3.273;3.387;2.431;2.533;4.581;3.955;5.363;10.524;3.096;3.024;1.416;1.807;3.115;4.084;1.899;2.394;1.376;2.243;1.678;1.104;2.859;3.186;1.13;2.893;1.016;1.897;1.023;0.983;1.04;1.259;0.205;0.279;0.157;0.254;0.168;0.143;0.225;0.277;-0.839;14.304;-0.378;-0.206;-6.41;1.368;-1.707;-1.721
2025-08-07T10:45:01.203207;0.19;;0.32005237278625315;5.661;11.635;3.273;3.387;2.431;2.533;4.581;3.955;5.363;10.524;3.096;3.024;1.416;1.807;3.115;4.084;1.899;2.394;1.376;2.243;1.678;1.104;2.859;3.186;1.13;2.893;1.016;1.897;1.023;0.983;1.04;1.259;0.205;0.279;0.157;0.254;0.168;0.143;0.225;0.277;-0.839;14.304;-0.378;-0.206;-6.41;1.368;-1.707;-1.721
2025-08-07T10:45:01.259996;0.25;;0.32005237278625315;3.352;23.615;4.821;5.006;4.156;5.057;6.759;1.86;1.769;17.399;2.176;3.54;2.703;4.277;3.939;0.887;2.014;6.382;1.242;1.802;1.251;0.532;1.932;2.218;0.787;2.734;0.676;2.114;1.759;0.686;1.039;1.309;0.191;0.414;0.165;0.236;0.156;0.104;0.245;0.284;-0.839;14.304;-0.378;-0.206;-6.41;1.368;-1.707;-1.721
2025-08-07T10:45:01.272058;0.26;;0.32005237278625315;3.352;23.615;4.821;5.006;4.156;5.057;6.759;1.86;1.769;17.399;2.176;3.54;2.703;4.277;3.939;0.887;2.014;6.382;1.242;1.802;1.251;0.532;1.932;2.218;0.787;2.734;0.676;2.114;1.759;0.686;1.039;1.309;0.191;0.414;0.165;0.236;0.156;0.104;0.245;0.284;1.012;13.983;1.493;2.133;-0.09;-1.998;-2.563;0.257
2025-08-07T10:45:01.303427;0.29;;0.32005237278625315;3.352;23.615;4.821;5.006;4.156;5.057;6.759;1.86;1.769;17.399;2.176;3.54;2.703;4.277;3.939;0.887;2.014;6.382;1.242;1.802;1.251;0.532;1.932;2.218;0.787;2.734;0.676;2.114;1.759;0.686;1.039;1.309;0.191;0.414;0.165;0.236;0.156;0.104;0.245;0.284;-5.916;-15.481;0.081;-7.461;2.028;-3.783;-2.704;-4.238
2025-08-07T10:45:01.365344;0.35;;0.32005237278625315;1.529;11.64;2.554;1.181;1.932;1.389;1.877;1.685;1.13;12.482;2.037;2.199;2.636;0.591;2.372;2.62;1.028;3.397;0.837;2.468;1.029;0.989;0.787;1.344;0.686;1.989;0.497;1.434;1.173;0.669;0.556;0.675;0.08;0.313;0.136;0.263;0.181;0.118;0.157;0.159;-5.916;-15.481;0.081;-7.461;2.028;-3.783;-2.704;-4.238
2025-08-07T10:45:01.369343;0.35;;0.32005237278625315;1.529;11.64;2.554;1.181;1.932;1.389;1.877;1.685;1.13;12.482;2.037;2.199;2.636;0.591;2.372;2.62;1.028;3.397;0.837;2.468;1.029;0.989;0.787;1.344;0.686;1.989;0.497;1.434;1.173;0.669;0.556;0.675;0.08;0.313;0.136;0.263;0.181;0.118;0.157;0.159;12.794;16.295;0.988;7.934;9.909;-2.403;5.892;5.826
2025-08-07T10:45:01.425666;0.41;;0.32005237278625315;1.529;11.64;2.554;1.181;1.932;1.389;1.877;1.685;1.13;12.482;2.037;2.199;2.636;0.591;2.372;2.62;1.028;3.397;0.837;2.468;1.029;0.989;0.787;1.344;0.686;1.989;0.497;1.434;1.173;0.669;0.556;0.675;0.08;0.313;0.136;0.263;0.181;0.118;0.157;0.159;9.686;25.143;8.829;2.587;2.015;3.27;9.288;6.986
