timestamp,heart_rate_bpm,rr_intervals_ms,breathing_rate_rpm,breathing_amplitude
1751570289.261853,78,"[852.5,837.9]",9.8,27.688
1751570289.28541,78,"[763.7,813.5]",9.8,30.006
1751570289.294639,78,"[763.7,813.5]",9.8,30.006
1751570290.310591,78,"[763.7,813.5]",9.8,30.006
1751570290.313114,78,"[796.9,737.3]",9.8,30.006
1751570290.314123,78,"[796.9,737.3]",9.8,30.006
1751570291.332837,78,"[796.9,737.3]",9.8,30.006
1751570291.346444,78,[766.6],9.8,30.006
1751570291.358729,78,[766.6],9.8,30.006
1751570292.390128,78,[766.6],9.8,30.006
1751570292.411478,78,[775.4],9.7,27.614
1751570292.421848,78,[775.4],9.7,27.614
1751570293.439151,78,[775.4],9.7,27.614
1751570293.44015,78,"[743.2,711.9]",9.7,27.614
1751570293.447213,78,"[743.2,711.9]",9.7,27.614
1751570294.453583,78,"[743.2,711.9]",9.7,27.614
1751570294.466244,78,[745.1],9.7,27.614
1751570294.475941,78,[745.1],9.7,27.614
1751570295.509525,79,[745.1],9.7,27.614
1751570295.52825,79,[781.2],9.4,28.05
1751570295.535537,79,[781.2],9.4,28.05
1751570296.541543,79,[781.2],9.4,28.05
1751570296.549694,79,[788.1],9.4,28.05
1751570296.55831,79,[788.1],9.4,28.05
1751570297.568918,78,[788.1],9.4,28.05
1751570297.569917,78,"[761.7,819.3]",9.4,28.05
1751570297.571429,78,"[761.7,819.3]",9.4,28.05
1751570298.576058,78,"[761.7,819.3]",9.4,28.05
1751570298.594813,78,[849.6],9.1,29.301
1751570298.606431,78,[849.6],9.1,29.301
1751570299.628105,78,[849.6],9.1,29.301
1751570299.636388,78,[817.4],9.1,29.301
1751570299.645981,78,[817.4],9.1,29.301
1751570300.657211,77,[817.4],9.1,29.301
1751570300.663981,77,[748.0],9.1,29.301
1751570300.668979,77,[748.0],9.1,29.301
1751570302.691112,77,[748.0],9.1,29.301
1751570302.695646,77,"[782.2,800.8,777.3]",9.6,27.916
1751570302.698603,77,"[782.2,800.8,777.3]",9.6,27.916
1751570304.717327,79,"[782.2,800.8,777.3]",9.6,27.916
1751570304.721841,79,"[686.5,665.0,679.7]",9.6,27.916
1751570304.722851,79,"[686.5,665.0,679.7]",9.6,27.916
1751570306.759782,81,"[686.5,665.0,679.7]",9.6,27.916
1751570306.776586,81,"[689.5,673.8,665.0]",9.1,41.735
1751570306.783974,81,"[689.5,673.8,665.0]",9.1,41.735
1751570307.783288,82,"[689.5,673.8,665.0]",9.1,41.735
1751570307.787416,82,[719.7],9.1,41.735
1751570307.790422,82,[719.7],9.1,41.735
1751570308.804908,83,[719.7],9.1,41.735
1751570308.806414,83,[812.5],9.1,41.735
1751570308.806414,83,[812.5],9.1,41.735
1751570309.799429,81,[812.5],9.1,41.735
1751570309.803389,81,"[767.6,762.7]",8.9,42.199
1751570309.80539,81,"[767.6,762.7]",8.9,42.199
1751570310.811646,81,"[767.6,762.7]",8.9,42.199
1751570310.812668,81,[834.0],8.9,42.199
1751570310.813692,81,[834.0],8.9,42.199
1751570311.742278,81,[834.0],8.9,42.199
1751570311.833356,81,[834.0],8.9,42.199
1751570311.834877,81,[832.0],8.9,42.199
1751570311.835892,81,[832.0],8.9,42.199
1751570312.841082,80,[832.0],8.9,42.199
1751570312.842159,80,[785.2],8.6,44.032
1751570312.843623,80,[785.2],8.6,44.032
1751570313.853742,79,[785.2],8.6,44.032
1751570313.855742,79,"[821.3,830.1]",8.6,44.032
1751570313.856743,79,"[821.3,830.1]",8.6,44.032
1751570314.862774,78,"[821.3,830.1]",8.6,44.032
1751570314.86711,78,[809.6],8.6,44.032
1751570314.870114,78,[809.6],8.6,44.032
1751570315.873581,78,[809.6],8.6,44.032
1751570315.877616,78,[732.4],8.2,45.867
1751570315.879582,78,[732.4],8.2,45.867
1751570316.898636,78,[732.4],8.2,45.867
1751570316.899635,78,"[751.0,790.0]",8.2,45.867
1751570316.901144,78,"[751.0,790.0]",8.2,45.867
1751570317.909797,78,"[751.0,790.0]",8.2,45.867
1751570317.913334,78,[782.2],8.2,45.867
1751570317.916333,78,[782.2],8.2,45.867
1751570318.919712,78,[782.2],8.2,45.867
1751570318.930372,78,[769.5],8.1,41.971
1751570318.937011,78,[769.5],8.1,41.971
1751570319.953838,78,[769.5],8.1,41.971
1751570319.963348,78,[807.6],8.1,41.971
1751570319.968763,78,[807.6],8.1,41.971
1751570320.985641,77,[807.6],8.1,41.971
1751570320.994941,77,"[837.9,798.8]",8.1,41.971
1751570321.002503,77,"[837.9,798.8]",8.1,41.971
1751570322.026227,77,"[837.9,798.8]",8.1,41.971
1751570322.040333,77,[754.9],7.9,43.764
1751570322.044881,77,[754.9],7.9,43.764
1751570323.060006,77,[754.9],7.9,43.764
1751570323.06151,77,[782.2],7.9,43.764
1751570323.062518,77,[782.2],7.9,43.764
1751570324.091464,77,[782.2],7.9,43.764
1751570324.101532,77,"[771.5,722.7]",7.9,43.764
1751570324.108731,77,"[771.5,722.7]",7.9,43.764
1751570325.133669,77,"[771.5,722.7]",7.9,43.764
1751570325.149741,77,[715.8],7.8,43.228
1751570325.160352,77,[715.8],7.8,43.228
1751570326.179359,78,[715.8],7.8,43.228
1751570326.181472,78,[751.0],7.8,43.228
1751570326.183858,78,[751.0],7.8,43.228
1751570327.194276,78,[751.0],7.8,43.228
1751570327.2079,78,[791.0],7.8,43.228
1751570327.219111,78,[791.0],7.8,43.228
