timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1753982162.715;60;997.1;8.2;40.114;fair;100
1753982162.736;60;846.7;8.2;40.114;fair;100
1753982162.76;60;846.7;8.2;40.114;fair;100
1753982163.781;61;846.7;8.2;40.114;fair;100
1753982163.786;61;949.2;8.2;40.114;fair;100
1753982163.791;61;949.2;8.2;40.114;fair;100
1753982164.807;62;949.2;8.2;40.114;fair;100
1753982164.814;62;1019.5;7.9;46.846;excellent;100
1753982164.819;62;1019.5;7.9;46.846;excellent;100
1753982165.829;62;1019.5;7.9;46.846;excellent;100
1753982165.835;62;913.1;7.9;46.846;excellent;100
1753982165.839;62;913.1;7.9;46.846;excellent;100
1753982166.861;62;913.1;7.9;46.846;excellent;100
1753982166.872;62;935.5;7.9;46.846;excellent;100
1753982166.877;62;935.5;7.9;46.846;excellent;100
1753982167.899;62;935.5;7.9;46.846;excellent;100
1753982167.935;62;1038.1;7.8;36.329;excellent;100
1753982167.955;62;1038.1;7.8;36.329;excellent;100
1753982168.956;62;1038.1;7.8;36.329;excellent;100
1753982168.963;62;1024.4;7.8;36.329;excellent;100
1753982168.975;62;1024.4;7.8;36.329;excellent;100
1753982169.993;61;1024.4;7.8;36.329;excellent;100
1753982170.001;61;947.3;7.8;36.329;excellent;100
1753982170.003;61;947.3;7.8;36.329;excellent;100
1753982171.013;61;947.3;7.8;36.329;excellent;100
1753982171.021;61;1016.6;7.6;33.841;excellent;100
1753982171.025;61;1016.6;7.6;33.841;excellent;100
1753982172.031;61;1016.6;7.6;33.841;excellent;100
1753982172.039;61;992.2;7.6;33.841;excellent;100
1753982172.044;61;992.2;7.6;33.841;excellent;100
1753982173.071;61;992.2;7.6;33.841;excellent;100
1753982172.159;61;925.8;7.6;33.841;excellent;100
1753982173.085;61;994.1;7.6;33.841;excellent;100
1753982172.178;61;925.8;7.6;33.841;excellent;100
1753982173.104;61;994.1;7.6;33.841;excellent;100
1753982173.19;61;925.8;7.6;33.841;excellent;100
1753982174.116;61;994.1;7.6;33.841;excellent;100
1753982174.122;61;1011.7;7.4;29.155;good;100
1753982174.126;61;1011.7;7.4;29.155;good;100
1753982176.142;61;1011.7;7.4;29.155;good;100
1753982175.12;61;1031.2;7.4;29.155;good;100
1753982176.152;61;854.5;7.4;29.155;good;100
1753982175.127;61;1031.2;7.4;29.155;good;100
1753982176.159;61;854.5;7.4;29.155;good;100
1753982176.2;61;1031.2;7.4;29.155;good;100
1753982177.231;61;854.5;7.4;29.155;good;100
1753982177.242;61;953.1;8.0;30.042;good;100
1753982177.259;61;953.1;8.0;30.042;good;100
1753982178.279;62;953.1;8.0;30.042;good;100
1753982178.283;62;1000.0;8.0;30.042;good;100
1753982178.288;62;1000.0;8.0;30.042;good;100
1753982179.293;62;1000.0;8.0;30.042;good;100
1753982179.297;62;1039.1;8.0;30.042;good;100
1753982179.302;62;1039.1;8.0;30.042;good;100
1753982180.318;62;1039.1;8.0;30.042;good;100
1753982180.322;62;885.7;8.1;28.716;fair;100
1753982180.326;62;885.7;8.1;28.716;fair;100
