timestamp;heart_rate_bpm;rr_interval_ms;breathing_rate_rpm;breathing_amplitude;breathing_quality;battery_level
1755865696.452;80;;;;;93
1755865697.461;80;;;;;93
1755865698.479;80;;;;;93
1755865699.51;80;;;;;93
1755865700.521;80;;;;;93
1755865701.53;80;;;;;93
1755865702.531;80;;;;;93
1755865703.54;80;;;;;93
1755865704.574;80;;;;;93
1755865705.606;80;;;;;93
1755865706.629;80;;;;;93
1755865707.655;79;;;;;93
1755865708.663;79;;;;;93
1755865709.704;79;;;;;93
1755865710.71;79;;;;;93
1755865710.882;79;;;;;93
1755865711.722;79;;;;;93
1755865712.739;80;;;;;93
1755865714.773;80;;;;;93
1755865715.804;80;;;;;93
1755865716.835;80;;;;;93
1755865717.874;80;;;;;93
1755865718.908;81;;;;;93
1755865719.939;81;;;;;93
1755865720.962;81;;;;;93
1755865721.984;81;;;;;93
1755865722.989;82;;;;;93
1755865724.018;82;;;;;93
1755865725.045;83;;;;;93
1755865726.071;83;;;;;93
1755865727.128;84;;;;;93
1755865728.155;84;;;;;93
1755865729.174;85;;;;;93
1755865730.193;85;;;;;93
1755865731.233;86;;;;;93
1755865732.271;86;;;;;93
1755865733.312;86;;;;;93
1755865734.338;85;;;;;93
1755865735.354;85;;;;;93
1755865736.372;85;;;;;93
1755865737.381;85;;;;;93
1755865738.429;84;;;;;93
1755865739.472;84;;;;;93
1755865740.478;84;;;;;93
1755865740.709;84;;;;;93
1755865741.514;85;;;;;93
1755865742.52;85;;;;;93
1755865743.548;85;;;;;93
1755865744.582;85;;;;;93
1755865745.61;85;;;;;93
1755865746.63;85;;;;;93
1755865747.668;85;;;;;93
1755865748.684;85;;;;;93
1755865749.697;85;;;;;93
1755865750.704;86;;;;;93
1755865752.767;87;;;;;93
1755865753.792;89;;;;;93
1755865754.829;90;;;;;93
1755865755.848;91;;;;;93
1755865756.865;91;;;;;93
1755865757.898;92;;;;;93
1755865758.944;92;;;;;93
1755865759.979;92;;;;;93
1755865761.007;92;;;;;93
1755865762.028;91;;;;;93
1755865763.052;91;;;;;93
1755865764.062;91;;;;;93
1755865765.079;91;;;;;93
1755865766.075;91;;;;;93
1755865767.112;90;;;;;93
1755865768.116;89;;;;;93
1755865769.138;88;;;;;93
1755865770.153;87;;;;;93
1755865770.334;87;;;;;93
1755865771.152;86;;;;;93
1755865772.174;85;;;;;93
1755865773.21;85;;;;;93
1755865774.247;85;;;;;93
1755865775.285;85;;;;;93
1755865776.297;85;;;;;93
1755865777.325;85;;;;;93
1755865778.339;84;;;;;93
1755865779.377;85;;;;;93
1755865780.4;85;;;;;93
1755865781.428;85;;;;;93
1755865782.442;86;;;;;93
1755865783.464;86;;;;;93
1755865784.51;86;;;;;93
1755865785.59;86;;;;;93
1755865786.627;86;;;;;93
1755865787.654;86;;;;;93
1755865788.671;86;;;;;93
1755865789.689;85;;;;;93
1755865790.7;85;;;;;93
1755865791.736;84;;;;;93
1755865792.739;84;;;;;93
1755865793.755;85;;;;;93
1755865794.802;85;;;;;93
1755865795.808;85;;;;;93
1755865796.828;85;;;;;93
1755865797.856;86;;;;;93
1755865798.885;86;;;;;93
1755865799.928;86;;;;;93
1755865800.972;86;;;;;93
1755865801.179;86;;;;;93
1755865801.981;86;;;;;93
1755865803.021;86;;;;;93
1755865804.078;85;;;;;93
1755865805.113;85;;;;;93
1755865806.148;84;;;;;93
1755865807.186;84;;;;;93
1755865808.197;84;;;;;93
1755865809.206;84;;;;;93
1755865810.23;84;;;;;93
1755865811.26;84;;;;;93
1755865812.292;84;;;;;93
1755865813.308;85;;;;;93
1755865814.353;85;;;;;93
1755865815.366;86;;;;;93
1755865816.393;86;;;;;93
1755865817.389;86;;;;;93
1755865818.409;87;;;;;93
1755865819.417;87;;;;;93
