Timestamp;Nez;Bouche;Œil_Gauche;Œil_Droit;Joue_Gauche;Joue_Droite;Front;Menton
2025-06-23T15:21:23.029184;30.05;9.22;7.78;30.65;21.86;11.67;21.89;27.15
2025-06-23T15:21:23.197289;6.99;13.53;10.83;13.02;14.65;10.38;18.5;11.4
2025-06-23T15:21:23.277528;13.14;24.84;14.52;21.91;9.03;11.13;28.49;28.24
2025-06-23T15:21:23.385541;17.13;21.53;21.1;32.26;33.93;22.4;7.03;25.97
2025-06-23T15:21:23.537415;29.62;24.02;18.78;22.32;9.76;14.89;36.61;16.8
2025-06-23T15:21:23.687231;21.75;20.55;36.57;16.27;28.37;31.0;13.38;11.89
2025-06-23T15:21:23.789147;16.12;12.42;12.87;18.61;36.02;16.28;26.32;29.52
2025-06-23T15:21:23.901708;25.69;28.36;20.1;32.38;28.44;28.08;30.83;32.45
2025-06-23T15:21:24.076533;19.02;33.23;7.2;31.76;11.7;28.07;14.37;32.25
2025-06-23T15:21:24.208812;26.42;25.18;10.73;19.41;23.91;34.28;11.13;33.08
2025-06-23T15:21:24.401159;27.41;23.14;28.69;36.21;16.79;23.82;34.99;8.49
2025-06-23T15:21:24.515810;8.09;24.94;14.93;29.75;10.58;7.44;22.41;31.79
2025-06-23T15:21:24.597015;24.7;8.74;8.96;11.51;31.37;10.09;8.29;20.93
2025-06-23T15:21:24.693380;14.86;11.93;9.65;10.99;28.29;34.94;16.12;12.28
2025-06-23T15:21:24.807144;17.39;36.71;14.82;32.42;35.98;25.38;25.6;20.5
2025-06-23T15:21:24.904646;35.67;25.05;31.29;12.38;20.56;13.51;33.99;30.24
2025-06-23T15:21:25.023564;14.21;14.9;17.77;9.79;11.95;26.38;16.84;34.67
2025-06-23T15:21:25.152085;20.07;35.75;24.67;27.55;26.47;35.79;31.17;32.74
2025-06-23T15:21:25.330730;30.1;15.78;13.78;11.9;22.95;8.13;13.13;10.82
2025-06-23T15:21:25.425353;34.03;12.28;36.22;31.19;17.11;25.04;11.66;24.79
2025-06-23T15:21:25.475681;8.48;10.51;23.65;16.78;31.18;8.95;17.19;27.81
2025-06-23T15:21:25.609469;11.73;17.73;31.37;27.91;27.44;20.65;20.97;18.99
2025-06-23T15:21:25.816096;20.24;23.29;7.65;13.19;34.6;18.93;13.8;26.22
2025-06-23T15:21:25.911270;13.06;9.63;25.74;15.84;22.56;19.81;17.97;8.01
2025-06-23T15:21:25.960799;34.29;27.24;9.93;8.42;32.22;30.83;18.83;21.42
2025-06-23T15:21:26.058878;31.02;12.01;34.97;10.8;22.76;28.31;11.56;23.67
2025-06-23T15:21:26.212024;10.14;11.39;7.78;33.27;9.03;8.12;29.95;31.44
2025-06-23T15:21:26.279694;15.3;18.06;25.37;19.68;16.87;31.22;30.21;20.45
2025-06-23T15:21:26.377608;7.06;29.12;25.1;9.83;18.39;32.32;19.45;35.76
2025-06-23T15:21:26.557666;12.42;10.62;35.19;18.24;19.02;17.71;15.3;32.55
2025-06-23T15:21:26.641736;27.06;31.13;26.59;23.8;16.55;10.75;22.44;31.25
2025-06-23T15:21:26.712426;12.16;34.97;24.6;21.03;10.58;27.68;30.93;21.15
2025-06-23T15:21:26.865845;20.81;11.81;8.39;9.15;24.95;12.16;33.09;29.29
2025-06-23T15:21:26.970999;22.84;17.05;25.81;13.22;36.13;31.24;17.08;19.16
2025-06-23T15:21:27.107279;7.37;36.4;11.52;7.62;12.14;7.34;11.36;35.77
2025-06-23T15:21:27.231088;32.69;24.07;24.25;24.48;35.69;13.34;24.9;36.05
2025-06-23T15:21:27.294912;20.76;12.96;13.74;25.02;11.82;24.68;12.88;27.34
2025-06-23T15:21:27.391837;10.61;7.85;27.1;11.38;28.47;36.48;27.66;29.08
2025-06-23T15:21:27.459646;13.39;35.72;33.08;8.17;26.12;25.84;25.62;35.39
2025-06-23T15:21:27.524067;14.95;16.49;36.39;29.39;10.3;13.28;11.1;8.67
2025-06-23T15:21:27.667713;27.04;26.12;14.21;18.66;13.61;19.71;14.2;17.59
2025-06-23T15:21:27.803146;13.23;33.12;32.46;17.27;10.32;8.6;18.44;35.45
2025-06-23T15:21:27.871427;30.15;33.86;8.21;13.93;28.7;8.61;10.01;19.42
2025-06-23T15:21:28.055599;20.98;27.59;19.54;35.27;35.22;8.15;20.84;17.67
2025-06-23T15:21:28.141912;14.39;15.88;22.35;31.87;29.48;14.32;31.41;33.39
2025-06-23T15:21:28.197276;17.35;33.34;26.61;9.75;18.62;36.05;25.36;24.66
2025-06-23T15:21:28.400821;21.31;9.28;33.49;17.95;26.46;24.92;20.17;16.02
2025-06-23T15:21:28.510698;31.5;28.33;31.24;7.17;35.16;7.0;20.9;10.75
