Timestamp;FPS;Nez;Bouche;Œil_Gauche;Œil_Droit;Joue_Gauche;Joue_Droite;Front;Menton
2025-07-09 05:23:20.412537;9.5;18.86;21.72;19.34;23.58;21.81;18.67;17.54;19.25
2025-07-09 05:23:20.662170;9.4;17.13;24.39;19.0;26.36;22.85;23.21;17.18;21.6
2025-07-09 05:23:20.897354;9.1;19.35;19.72;23.72;20.56;23.74;25.65;18.03;18.35
2025-07-09 05:23:21.111171;9.2;20.97;20.07;21.98;19.73;22.25;24.34;18.5;18.81
2025-07-09 05:23:21.341892;9.1;17.39;23.66;23.24;17.15;25.5;23.19;15.07;19.45
2025-07-09 05:23:21.569125;9.1;18.44;25.14;24.08;16.64;23.83;27.24;14.01;20.21
2025-07-09 05:23:21.813226;9.1;21.09;28.08;27.88;21.58;21.49;22.76;14.22;23.18
2025-07-09 05:23:22.014957;9.1;23.35;22.8;28.1;19.54;25.48;19.58;19.04;21.78
2025-07-09 05:23:22.160839;9.3;22.83;26.16;26.86;18.5;26.33;18.8;16.67;20.92
2025-07-09 05:23:22.390430;9.4;25.75;27.92;28.34;21.28;24.64;17.33;16.0;24.85
2025-07-09 05:23:22.601553;9.4;25.25;25.26;28.88;20.95;23.63;21.67;19.17;24.4
2025-07-09 05:23:22.840118;9.5;21.45;19.81;30.19;17.68;20.71;20.65;15.96;25.52
2025-07-09 05:23:23.065664;9.5;25.39;19.48;24.18;22.08;19.34;16.6;22.05;23.15
2025-07-09 05:23:23.319295;9.4;21.01;17.62;26.49;18.25;20.54;16.97;24.43;22.36
2025-07-09 05:23:23.507908;9.4;19.67;22.41;26.32;17.06;25.04;17.2;21.66;21.24
2025-07-09 05:23:23.779095;9.4;24.47;22.94;25.69;21.02;28.04;20.39;17.57;21.71
2025-07-09 05:23:23.977712;9.4;20.96;26.57;24.23;23.85;27.56;22.08;18.8;22.54
2025-07-09 05:23:24.190441;9.4;24.2;25.61;25.38;18.83;24.79;22.01;18.92;23.2
2025-07-09 05:23:24.409862;9.4;22.49;22.9;21.88;23.59;26.7;19.75;16.41;25.91
2025-07-09 05:23:24.639196;9.5;17.93;18.82;24.2;21.26;20.89;21.59;21.4;20.44
2025-07-09 05:23:24.874865;9.5;17.47;19.23;21.81;19.88;23.69;24.39;22.86;24.91
2025-07-09 05:23:25.096139;9.5;17.39;21.21;17.84;21.94;21.72;21.09;26.88;26.99
2025-07-09 05:23:25.379058;9.4;21.42;20.17;15.52;22.68;20.89;22.45;27.56;29.5
2025-07-09 05:23:25.558697;9.0;21.17;18.61;17.09;21.16;24.32;25.45;24.87;23.18
2025-07-09 05:23:25.811683;9.1;20.73;15.6;21.71;17.34;20.19;28.54;27.73;19.97
2025-07-09 05:23:26.070389;9.1;24.31;18.69;25.08;21.92;16.98;30.42;23.82;23.14
2025-07-09 05:23:26.206560;9.2;23.42;22.53;27.65;18.4;18.05;27.43;20.83;24.31
2025-07-09 05:23:26.443711;9.2;18.45;18.35;26.04;22.42;21.84;28.96;25.32;20.11
2025-07-09 05:23:26.614350;9.3;22.0;19.5;21.82;24.34;24.89;26.98;28.37;19.25
2025-07-09 05:23:26.817223;9.4;18.57;18.9;20.43;28.08;23.3;27.58;26.06;16.05
2025-07-09 05:23:27.032992;9.5;20.9;17.59;22.29;30.54;24.81;28.59;26.91;20.82
2025-07-09 05:23:27.280501;9.4;20.03;19.69;20.79;25.57;23.3;23.71;28.75;21.37
2025-07-09 05:23:27.488177;9.5;22.64;21.17;24.16;21.76;27.22;27.05;24.47;25.58
2025-07-09 05:23:27.740602;9.5;22.49;17.46;27.68;25.7;26.46;25.82;24.88;21.61
2025-07-09 05:23:28.006741;9.4;18.94;15.88;27.65;23.48;24.79;22.97;21.43;19.27
2025-07-09 05:23:28.209947;9.4;21.29;19.12;24.53;21.76;27.72;22.71;23.45;24.44
2025-07-09 05:23:28.440385;9.3;18.59;15.99;24.48;18.69;21.75;25.12;27.29;21.47
2025-07-09 05:23:28.673407;9.3;24.02;17.22;24.08;16.82;17.88;24.0;21.83;23.21
2025-07-09 05:23:28.868175;9.4;22.33;15.79;24.67;15.7;18.06;24.1;24.01;24.17
2025-07-09 05:23:29.083375;9.4;25.13;18.35;25.32;13.12;19.84;21.95;27.04;26.42
2025-07-09 05:23:29.342508;9.5;24.17;17.38;22.72;16.91;16.72;25.83;22.53;27.58
2025-07-09 05:23:29.530077;9.5;27.57;22.5;18.93;21.91;17.31;24.05;22.18;27.16
2025-07-09 05:23:29.798288;9.4;23.67;23.62;19.16;18.27;22.53;27.72;25.68;26.17
2025-07-09 05:23:30.061569;9.0;22.91;19.92;19.84;23.15;20.31;28.59;25.17;20.8
2025-07-09 05:23:30.230056;9.0;19.23;22.67;24.3;20.05;24.93;26.1;20.15;23.68
2025-07-09 05:23:30.402244;9.4;23.58;23.77;20.53;21.97;25.4;20.99;24.45;24.7
2025-07-09 05:23:30.579717;9.4;22.94;20.92;20.83;18.81;28.11;23.01;22.01;25.82
2025-07-09 05:23:30.956682;9.0;25.66;18.64;23.57;21.73;22.81;26.42;26.09;20.32
2025-07-09 05:23:31.164800;9.1;25.39;17.79;20.98;23.96;18.5;28.98;26.6;19.74
2025-07-09 05:23:33.038552;6.1;24.77;16.92;25.38;20.7;23.0;28.2;20.72;23.91
2025-07-09 05:23:33.236768;6.1;20.46;18.03;20.15;20.86;20.35;24.09;17.51;20.31
2025-07-09 05:23:33.438073;6.1;16.44;21.14;20.6;20.3;24.38;24.82;19.61;23.27
2025-07-09 05:23:33.662751;6.1;19.75;20.92;19.59;16.64;24.98;23.31;19.48;24.16
2025-07-09 05:23:33.898112;6.1;16.78;19.51;16.0;21.51;26.95;25.18;21.73;21.78
